,RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA
132,133,Tre Jones,San,G,23.2,55,29.0,19.8,13.3,134
133,134,Nic Claxton,Bro,F-C,23.9,63,29.3,15.6,14.7,207
134,135,Cole Anthony,Orl,G,22.8,48,25.2,21.3,13.6,139
135,136,Terrence Ross,Pho,G-F,32.1,6,20.7,20.6,3.4,4
136,137,Kenyon Martin Jr.,Hou,F,22.2,67,27.0,16.6,12.0,173
137,138,Mason Plumlee,Cha,F-C,33.0,56,28.5,15.6,17.8,256
138,139,Jabari Smith Jr.,Hou,F,19.8,64,30.3,18.4,11.4,163
139,140,Thomas Bryant,Lal,C-F,25.6,41,21.3,18.2,8.5,108
140,141,Bones Hyland,Den,G,22.5,42,19.5,28.4,13.4,82
141,142,Kelly Olynyk,Uta,F-C,31.9,56,28.3,17.3,22.1,186
142,143,Jakob Poeltl,San,C,27.4,46,26.1,18.7,19.8,129
143,144,Derrick White,Bos,G,28.7,68,28.0,17.6,10.6,154
144,145,Clint Capela,Atl,C,28.8,52,26.8,16.1,9.0,98
145,146,Kyle Lowry,Mia,G,37.0,45,33.3,17.0,17.1,119
146,147,Kris Dunn,Uta,G,29.0,8,22.4,21.6,13.6,10
147,148,Max Strus,Mia,G-F,27.0,67,29.2,17.7,8.3,84
148,149,Saddiq Bey,Atl,F,23.9,11,26.3,14.8,7.3,13
149,150,Marcus Morris Sr.,Lac,F,33.5,59,28.4,18.0,8.0,84
150,151,Keegan Murray,Sac,F,22.6,64,29.6,15.6,7.6,68
151,152,Jaden McDaniels,Min,F,22.5,65,30.7,15.2,14.2,110
152,153,Caris LeVert,Cle,G,28.5,64,30.1,18.9,13.9,153
153,154,Josh Richardson,San,G,29.5,42,23.7,20.6,13.4,60
154,155,Marcus Smart,Bos,G,29.0,51,32.4,17.6,19.7,99
155,156,John Wall,Lac,G,32.5,34,22.2,27.1,19.1,113
156,157,Marvin Bagley III,Det,F,24.0,33,22.6,20.4,11.1,78
157,158,Malik Beasley,Lal,G,26.3,12,26.0,20.9,10.6,9
158,159,Isaiah Stewart,Det,F-C,21.8,50,28.3,17.2,13.4,149
159,160,Kentavious Caldwell-Pope,Den,G,30.1,65,31.7,14.1,12.1,106
160,161,Jordan Nwora,Ind,F,24.5,10,20.2,22.1,9.0,14
161,162,Austin Reaves,Lal,G,24.8,50,27.6,15.0,16.4,161
162,163,Bruce Brown,Den,G-F,26.6,67,28.3,17.3,14.9,100
163,164,Moritz Wagner,Orl,F-C,25.9,47,20.7,21.0,13.7,154
164,165,Cameron Payne,Pho,G,28.6,35,21.9,25.0,16.5,53
165,166,Reggie Jackson,Lac,G,32.9,52,25.7,20.8,15.8,66
166,167,Jaylen Nowell,Min,G,23.7,62,19.5,24.9,9.4,97
167,168,Grayson Allen,Mil,G,27.4,63,27.9,14.7,11.5,115
168,169,Cam Thomas,Bro,G,21.4,49,16.9,27.6,11.7,162
169,170,Mike Conley,Uta,G,35.4,43,29.7,16.1,16.5,96
170,171,Josh Hart,Nyk,G,28.0,13,29.7,13.0,21.7,35
171,172,Jeremy Sochan,San,F,19.8,53,26.3,19.5,15.1,108
172,173,Zach Collins,San,F-C,25.3,55,21.9,20.5,19.7,119
173,174,Mike Conley,Min,G,35.4,10,31.2,15.4,12.5,19
174,175,Jalen McDaniels,Cha,F-C,25.1,56,26.7,17.4,13.8,104
175,176,Naz Reid,Min,C-F,23.5,60,18.0,23.8,14.4,101
176,177,Rui Hachimura,Lal,F,25.1,20,24.4,17.1,5.6,46
177,178,De'Anthony Melton,Phi,G,24.8,64,28.1,16.4,13.7,70
178,179,Victor Oladipo,Mia,G,30.9,36,27.2,20.1,17.4,71
179,180,Caleb Martin,Mia,F,27.5,58,29.8,14.8,12.3,97
180,181,Monte Morris,Was,G,27.7,54,27.8,15.3,11.1,69
181,182,Patrick Williams,Chi,F,21.5,67,28.6,15.3,13.2,87
182,183,Ivica Zubac,Lac,C,26.0,63,29.1,14.3,20.4,189
183,184,Eric Gordon,Lac,G,34.2,10,25.0,16.1,8.4,21
184,185,Tyus Jones,Mem,G,26.8,66,23.3,17.9,9.2,85
185,186,Brandon Clarke,Mem,F,26.5,56,19.5,17.6,13.6,137
186,187,Doug McDermott,San,F,31.2,57,20.6,18.8,10.4,54
187,188,Seth Curry,Bro,G,32.6,50,21.4,19.3,10.6,47
188,189,Quentin Grimes,Nyk,G,22.8,59,29.4,13.7,11.3,79
189,190,Al Horford,Bos,C-F,36.8,53,31.0,11.8,7.1,19
190,191,Josh Richardson,Nor,G,29.5,9,26.6,15.8,10.0,19
191,192,Corey Kispert,Was,F,24.0,60,27.4,12.9,9.4,63
192,193,Jalen Suggs,Orl,G,21.8,43,23.8,20.1,18.3,95
193,194,Aaron Nesmith,Ind,G-F,23.4,59,24.5,16.5,10.5,109
194,195,Chris Boucher,Tor,F-C,30.2,62,20.1,18.1,6.9,147
195,196,Josh Hart,Por,G,28.0,51,33.4,12.7,17.9,119
196,197,Killian Hayes,Det,G,21.6,62,26.9,20.0,16.9,69
197,198,Herbert Jones,Nor,F,24.4,52,29.0,14.8,14.4,127
198,199,Naji Marshall,Nor,F,25.1,63,24.9,17.3,14.5,146
199,200,Landry Shamet,Pho,G,26.0,30,21.4,19.4,10.6,45
200,201,T.J. Warren,Bro,F,29.5,26,18.9,21.0,7.8,33
201,202,Precious Achiuwa,Tor,F,23.5,44,22.0,19.0,13.3,110
